[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 10 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 24 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 22 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 29 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 17 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 14 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 15 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 56 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 51 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 54 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 3 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 6 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 10 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 9 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 5 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 7 ms
[04/04/2025, 21:59:55] | "GET" | /api/logos/file/undefined | Status: 404 | Size: 261 bytes | ⏳ Time: 4 ms
