[02/04/2025, 10:55:11] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:15] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:55:20] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:55:25] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:28] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:34] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:38] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:40] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:43] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:48] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:50] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:53] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:55:58] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:04] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:05] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:06] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:07] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:08] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:09] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:10] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 2 ms
[02/04/2025, 10:56:11] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:12] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:13] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:14] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:56:15] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:56:16] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:17] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:18] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 2 ms
[02/04/2025, 10:56:20] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:23] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:25] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:56:28] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:33] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:37] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:41] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:46] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 0 ms
[02/04/2025, 10:56:50] | "GET" | / | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:52] | "GET" | /home1.jpg | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:52] | "GET" | /home3.jpg | Status: 404 | Size: 42 bytes | ⏳ Time: 2 ms
[02/04/2025, 10:56:52] | "GET" | /home2.jpg | Status: 404 | Size: 42 bytes | ⏳ Time: 2 ms
[02/04/2025, 10:56:52] | "GET" | /home5.jpg | Status: 404 | Size: 42 bytes | ⏳ Time: 3 ms
[02/04/2025, 10:56:52] | "GET" | /home4.jpg | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:52] | "GET" | /home6.jpg | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:54] | "GET" | /about | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 10:56:54] | "GET" | /favicon.ico | Status: 404 | Size: 42 bytes | ⏳ Time: 2 ms
[02/04/2025, 10:57:09] | "GET" | /about | Status: 404 | Size: 42 bytes | ⏳ Time: 1 ms
[02/04/2025, 16:23:53] | "POST" | /CustomerRequest | Status: 404 | Size: 42 bytes | ⏳ Time: 20 ms
[02/04/2025, 16:25:04] | "POST" | /CustomerRequest | Status: 404 | Size: 42 bytes | ⏳ Time: 30 ms
